Date,Time,Open,High,Low,Close,Volume,Target
2011.11.09,0:00,0.9297,0.9298,0.9201,0.922,102573,0.9250 
2011.11.10,0:00,0.922,0.9281,0.9152,0.9194,105199,0.9217 
2011.11.11,0:00,0.9194,0.9279,0.9157,0.9228,94930,0.9218 
2011.11.14,0:00,0.9278,0.9307,0.9217,0.9264,101682,0.9262 
2011.11.15,0:00,0.9265,0.9333,0.9252,0.9307,106659,0.9293 
2011.11.16,0:00,0.9305,0.9322,0.9254,0.9264,111127,0.9288 
2011.11.17,0:00,0.9264,0.9295,0.9174,0.9216,117205,0.9235 
2011.11.18,0:00,0.9216,0.9225,0.913,0.9168,111336,0.9178 
2011.11.21,0:00,0.9165,0.918,0.8994,0.9023,105388,0.9087 
2011.11.22,0:00,0.9023,0.906,0.8976,0.8986,105138,0.9018 
2011.11.23,0:00,0.8986,0.8994,0.8883,0.8908,103583,0.8939 
2011.11.24,0:00,0.8905,0.8988,0.8899,0.8945,85179,0.8944 
2011.11.25,0:00,0.8945,0.9103,0.8918,0.9017,96954,0.9011 
2011.11.28,0:00,0.9107,0.9174,0.9082,0.9131,100309,0.9128 
2011.11.29,0:00,0.9131,0.9246,0.9112,0.9205,101973,0.9179 
2011.11.30,0:00,0.9205,0.9393,0.9186,0.9387,106025,0.9290 
2011.12.01,0:00,0.9386,0.9391,0.9259,0.9375,101068,0.9325 
2011.12.02,0:00,0.9374,0.9443,0.934,0.9399,91285,0.9392 
2011.12.05,0:00,0.9436,0.9465,0.9403,0.9448,94379,0.9434 
2011.12.06,0:00,0.9449,0.9502,0.9382,0.9481,98116,0.9442 
2011.12.07,0:00,0.9482,0.9532,0.947,0.9502,91318,0.9501 
2011.12.08,0:00,0.9501,0.9532,0.9395,0.9408,98040,0.9464 
2011.12.09,0:00,0.9409,0.9456,0.9311,0.9418,100431,0.9384 
2011.12.12,0:00,0.9443,0.945,0.9382,0.9437,94933,0.9416 
2011.12.13,0:00,0.9436,0.9507,0.9412,0.9467,99954,0.9460 
2011.12.14,0:00,0.9467,0.9482,0.9407,0.9445,105453,0.9445 
2011.12.15,0:00,0.9445,0.9451,0.9313,0.9321,101359,0.9382 
2011.12.16,0:00,0.9321,0.9398,0.9314,0.9339,91955,0.9356 
2011.12.19,0:00,0.9349,0.935,0.926,0.9272,94934,0.9305 
2011.12.20,0:00,0.9271,0.939,0.926,0.9388,92623,0.9325 
2011.12.21,0:00,0.9388,0.9466,0.9367,0.945,99227,0.9417 
2011.12.22,0:00,0.9449,0.9503,0.9416,0.9477,86970,0.9460 
2011.12.23,0:00,0.9477,0.9528,0.9468,0.9491,69105,0.9498 
2011.12.26,0:00,0.9515,0.9527,0.9481,0.9515,24560,0.9504 
2011.12.27,0:00,0.952,0.952,0.9465,0.9482,65489,0.9493 
2011.12.28,0:00,0.9482,0.955,0.947,0.951,77489,0.9510 
2011.12.29,0:00,0.951,0.9551,0.9484,0.9525,84330,0.9518 
2011.12.30,0:00,0.9524,0.963,0.9521,0.9561,80318,0.9576 
2012.01.02,0:00,0.9584,0.9618,0.9552,0.9614,46203,0.9585 
2012.01.03,0:00,0.9613,0.9691,0.9609,0.9669,92652,0.9650 
2012.01.04,0:00,0.9669,0.9765,0.9634,0.9761,91709,0.9700 
2012.01.05,0:00,0.976,0.9786,0.971,0.977,100391,0.9748 
2012.01.06,0:00,0.9769,0.9798,0.9736,0.9763,86169,0.9767 
2012.01.09,0:00,0.9762,0.9776,0.9701,0.9718,92802,0.9739 
2012.01.10,0:00,0.9719,0.9818,0.9712,0.9784,85699,0.9765 
2012.01.11,0:00,0.9783,0.9842,0.977,0.9831,87170,0.9806 
2012.01.12,0:00,0.983,0.9844,0.9721,0.9754,80773,0.9783 
2012.01.13,0:00,0.9754,0.9839,0.9727,0.9817,87497,0.9783 
2012.01.16,0:00,0.9823,0.9856,0.9788,0.9838,70708,0.9822 
2012.01.17,0:00,0.9837,0.9894,0.9829,0.9846,84588,0.9862 
2012.01.18,0:00,0.9846,0.9856,0.977,0.9799,92406,0.9813 
2012.01.19,0:00,0.9799,0.9799,0.9701,0.9708,86695,0.9750 
2012.01.20,0:00,0.9707,0.9796,0.9692,0.9793,77277,0.9744 
2012.01.23,0:00,0.9819,0.9836,0.975,0.976,79278,0.9793 
2012.01.24,0:00,0.976,0.9763,0.9684,0.9728,76684,0.9724 
2012.01.25,0:00,0.9728,0.9779,0.9685,0.976,83759,0.9732 
2012.01.26,0:00,0.976,0.9804,0.9753,0.978,78635,0.9779 
2012.01.27,0:00,0.9781,0.9811,0.9697,0.9721,84569,0.9754 
2012.01.30,0:00,0.9698,0.9732,0.9662,0.9715,83350,0.9697 
2012.01.31,0:00,0.9714,0.9778,0.9701,0.9769,85664,0.9740 
2012.02.01,0:00,0.9769,0.9817,0.975,0.9792,85483,0.9784 
2012.02.02,0:00,0.9792,0.9845,0.9787,0.9815,83659,0.9816 
2012.02.03,0:00,0.9814,0.9916,0.9776,0.9878,90415,0.9846 
2012.02.06,0:00,0.9892,0.9903,0.9847,0.9847,89818,0.9875 
2012.02.07,0:00,0.9846,0.9942,0.9835,0.9849,95539,0.9889 
2012.02.08,0:00,0.9848,0.9898,0.9832,0.9847,87955,0.9865 
2012.02.09,0:00,0.9847,0.9859,0.9815,0.9828,96475,0.9837 
2012.02.10,0:00,0.9829,0.9833,0.9732,0.9776,91258,0.9783 
2012.02.13,0:00,0.9776,0.9842,0.9761,0.9831,89590,0.9802 
2012.02.14,0:00,0.9831,0.9838,0.9792,0.9824,96978,0.9815 
2012.02.15,0:00,0.9824,0.9912,0.9819,0.9875,95872,0.9866 
2012.02.16,0:00,0.9875,0.9932,0.9869,0.9881,100317,0.9901 
2012.02.17,0:00,0.988,0.9913,0.981,0.9844,87105,0.9862 
2012.02.20,0:00,0.9877,0.9886,0.9784,0.98,78334,0.9835 
2012.02.21,0:00,0.98,0.98,0.9718,0.9725,94672,0.9759 
2012.02.22,0:00,0.9724,0.974,0.9667,0.9677,88331,0.9704 
2012.02.23,0:00,0.9678,0.9706,0.9639,0.9655,82891,0.9673 
2012.02.24,0:00,0.9654,0.9686,0.9563,0.9576,82092,0.9625 
2012.02.27,0:00,0.9575,0.9694,0.9542,0.9671,85027,0.9618 
2012.02.28,0:00,0.9671,0.9671,0.9618,0.9639,81893,0.9645 
2012.02.29,0:00,0.9639,0.9741,0.9634,0.9703,92060,0.9688 
2012.03.01,0:00,0.9702,0.9791,0.9695,0.9789,91701,0.9743 
2012.03.02,0:00,0.9789,0.9835,0.9762,0.9804,81825,0.9799 
2012.03.05,0:00,0.9816,0.9819,0.9714,0.973,78040,0.9767 
2012.03.06,0:00,0.973,0.9743,0.9672,0.9691,87506,0.9708 
2012.03.07,0:00,0.9691,0.9707,0.9648,0.9697,82260,0.9678 
2012.03.08,0:00,0.9697,0.9728,0.9625,0.9661,82845,0.9677 
2012.03.09,0:00,0.9661,0.9759,0.9646,0.9712,82367,0.9703 
2012.03.12,0:00,0.9712,0.9717,0.9605,0.9636,76247,0.9661 
2012.03.13,0:00,0.9636,0.9737,0.9622,0.9725,80395,0.9680 
2012.03.14,0:00,0.9725,0.9755,0.9694,0.972,81386,0.9725 
2012.03.15,0:00,0.9719,0.9746,0.9699,0.9713,83220,0.9723 
2012.03.16,0:00,0.9714,0.974,0.9683,0.9691,68703,0.9712 
2012.03.19,0:00,0.9689,0.9724,0.9649,0.9667,68273,0.9687 
2012.03.20,0:00,0.9667,0.9679,0.9542,0.9548,76280,0.9611 
2012.03.21,0:00,0.9547,0.9559,0.95,0.9531,78211,0.9530 
2012.03.22,0:00,0.9531,0.9538,0.9458,0.949,80875,0.9498 
2012.03.23,0:00,0.949,0.9516,0.9444,0.9496,78655,0.9480 
2012.03.26,0:00,0.9495,0.9545,0.9484,0.9507,72088,0.9515 
2012.03.27,0:00,0.9507,0.9525,0.9456,0.9463,70289,0.9491 
2012.03.28,0:00,0.9463,0.9468,0.9381,0.9399,85611,0.9425 
2012.03.29,0:00,0.9399,0.9415,0.9358,0.9405,80256,0.9387 
2012.03.30,0:00,0.9406,0.941,0.9315,0.9329,76711,0.9363 
2012.04.02,0:00,0.9411,0.9432,0.9358,0.9412,70966,0.9395 
2012.04.03,0:00,0.9412,0.9439,0.9344,0.9395,81525,0.9392 
2012.04.04,0:00,0.9394,0.9422,0.9354,0.9401,84535,0.9388 
2012.04.05,0:00,0.9401,0.9491,0.9384,0.9469,77806,0.9438 
2012.04.06,0:00,0.9469,0.9494,0.9422,0.944,52421,0.9458 
2012.04.09,0:00,0.9436,0.9482,0.9431,0.9455,52801,0.9457 
2012.04.10,0:00,0.9454,0.9468,0.9407,0.9411,82232,0.9438 
2012.04.11,0:00,0.9411,0.9453,0.9393,0.9444,79001,0.9423 
2012.04.12,0:00,0.9445,0.9526,0.9444,0.9508,82121,0.9485 
2012.04.13,0:00,0.9508,0.9549,0.9468,0.953,82159,0.9509 
2012.04.16,0:00,0.9542,0.956,0.9465,0.9466,84984,0.9513 
2012.04.17,0:00,0.9467,0.9534,0.9446,0.9507,77948,0.9490 
2012.04.18,0:00,0.9507,0.9539,0.9475,0.9483,79891,0.9507 
2012.04.19,0:00,0.9483,0.9507,0.9438,0.945,83036,0.9473 
2012.04.20,0:00,0.945,0.9459,0.941,0.9428,77259,0.9435 
2012.04.23,0:00,0.943,0.9448,0.9396,0.9422,69789,0.9422 
2012.04.24,0:00,0.9423,0.9431,0.9357,0.9387,78142,0.9394 
2012.04.25,0:00,0.9387,0.9419,0.9381,0.9408,79399,0.9400 
2012.04.26,0:00,0.9408,0.9439,0.9401,0.9439,74693,0.9420 
2012.04.27,0:00,0.9438,0.9494,0.9432,0.948,82738,0.9463 
2012.04.30,0:00,0.9487,0.9493,0.9443,0.9459,68681,0.9468 
2012.05.01,0:00,0.9459,0.9461,0.9332,0.9377,64958,0.9397 
2012.05.02,0:00,0.9377,0.9449,0.9371,0.9432,77476,0.9410 
2012.05.03,0:00,0.9432,0.9437,0.9357,0.9373,77995,0.9397 
2012.05.04,0:00,0.9372,0.9382,0.9294,0.9343,77241,0.9338 
2012.05.07,0:00,0.9368,0.9401,0.9352,0.9383,85484,0.9377 
2012.05.08,0:00,0.9383,0.9395,0.9325,0.9343,85718,0.9360 
2012.05.09,0:00,0.9344,0.9347,0.9305,0.9333,94384,0.9326 
2012.05.10,0:00,0.9333,0.9395,0.9316,0.9357,90052,0.9356 
2012.05.11,0:00,0.9356,0.9357,0.9308,0.9314,87574,0.9333 
2012.05.14,0:00,0.9319,0.9347,0.9296,0.9323,78149,0.9322 
2012.05.15,0:00,0.9323,0.9388,0.9316,0.937,80990,0.9352 
2012.05.16,0:00,0.937,0.9387,0.9336,0.9357,85162,0.9362 
2012.05.17,0:00,0.9357,0.94,0.9346,0.9348,83251,0.9373 
2012.05.18,0:00,0.9348,0.9365,0.9213,0.9245,95768,0.9289 
2012.05.21,0:00,0.9253,0.9295,0.923,0.9289,91486,0.9263 
2012.05.22,0:00,0.9289,0.9321,0.9281,0.9286,93681,0.9301 
2012.05.23,0:00,0.9286,0.9318,0.9239,0.93,106153,0.9279 
2012.05.24,0:00,0.9299,0.9387,0.9293,0.9353,105870,0.9340 
2012.05.25,0:00,0.9353,0.9383,0.9332,0.9352,93416,0.9358 
2012.05.28,0:00,0.9382,0.9445,0.9364,0.9438,77619,0.9405 
2012.05.29,0:00,0.9438,0.9466,0.9411,0.9456,93020,0.9439 
2012.05.30,0:00,0.9456,0.9464,0.9404,0.9419,103703,0.9434 
2012.05.31,0:00,0.9419,0.9476,0.9396,0.945,104201,0.9436 
2012.06.01,0:00,0.945,0.9452,0.9346,0.9359,108421,0.9399 
2012.06.04,0:00,0.9378,0.9384,0.9323,0.9343,91239,0.9354 
2012.06.05,0:00,0.9343,0.9424,0.9324,0.9391,92308,0.9374 
2012.06.06,0:00,0.9391,0.9513,0.939,0.947,93776,0.9452 
2012.06.07,0:00,0.947,0.9532,0.9445,0.9456,94768,0.9489 
2012.06.08,0:00,0.9456,0.9538,0.9438,0.9511,96948,0.9488 
2012.06.11,0:00,0.949,0.9539,0.9466,0.9486,89973,0.9503 
2012.06.12,0:00,0.9486,0.9566,0.9486,0.9562,89912,0.9526 
2012.06.13,0:00,0.9562,0.9566,0.9489,0.9495,85955,0.9528 
2012.06.14,0:00,0.9495,0.9534,0.9487,0.9525,87753,0.9511 
2012.06.15,0:00,0.9525,0.9582,0.9509,0.9526,82792,0.9546 
2012.06.18,0:00,0.9565,0.9684,0.9533,0.9664,89656,0.9609 
2012.06.19,0:00,0.9664,0.9676,0.9617,0.9641,86875,0.9647 
2012.06.20,0:00,0.9641,0.9653,0.961,0.9631,88543,0.9632 
2012.06.21,0:00,0.9631,0.9657,0.9594,0.9605,91899,0.9626 
2012.06.22,0:00,0.9604,0.9632,0.9582,0.9607,83122,0.9607 
2012.06.25,0:00,0.9611,0.9629,0.959,0.961,74336,0.9610 
2012.06.26,0:00,0.961,0.9685,0.9601,0.9671,85139,0.9643 
2012.06.27,0:00,0.9672,0.9711,0.9654,0.9706,86528,0.9683 
2012.06.28,0:00,0.9706,0.9739,0.9666,0.969,99251,0.9703 
2012.06.29,0:00,0.9691,0.9748,0.9653,0.9704,110166,0.9701 
2012.07.02,0:00,0.972,0.9791,0.9706,0.9782,89094,0.9749 
2012.07.03,0:00,0.9782,0.9807,0.9764,0.9792,82924,0.9786 
2012.07.04,0:00,0.9791,0.9869,0.9785,0.9846,80094,0.9827 
2012.07.05,0:00,0.9846,0.9988,0.9818,0.9968,94632,0.9903 
2012.07.06,0:00,0.9969,0.9996,0.9933,0.9974,93695,0.9965 
2012.07.09,0:00,0.9985,0.9996,0.9926,0.9951,85588,0.9961 
2012.07.10,0:00,0.9951,1.0014,0.9926,0.9987,91205,0.9970 
2012.07.11,0:00,0.9987,1.0059,0.9974,1.0054,91654,1.0017 
2012.07.12,0:00,1.0052,1.0057,0.9952,0.9973,96126,1.0005 
2012.07.13,0:00,0.9974,1.0038,0.9964,1.0023,89835,1.0001 
2012.07.16,0:00,1.003,1.0068,1.001,1.0025,77455,1.0039 
2012.07.17,0:00,1.0025,1.0096,1.0017,1.0075,90490,1.0057 
2012.07.18,0:00,1.0076,1.0145,1.0056,1.013,92777,1.0101 
2012.07.19,0:00,1.0129,1.0224,1.0126,1.0193,92762,1.0175 
2012.07.20,0:00,1.0193,1.0256,1.0181,1.0246,90810,1.0219 
2012.07.23,0:00,1.0259,1.0262,1.0152,1.0163,97276,1.0207 
2012.07.24,0:00,1.0163,1.0229,1.0155,1.0169,101662,1.0192 
2012.07.25,0:00,1.0169,1.0204,1.0131,1.0181,102379,1.0168 
2012.07.26,0:00,1.0181,1.0226,1.0137,1.0161,104114,1.0182 
2012.07.27,0:00,1.0161,1.0231,1.0125,1.0213,99779,1.0178 
2012.07.30,0:00,1.0226,1.0303,1.0202,1.0286,84286,1.0253 
2012.07.31,0:00,1.0285,1.031,1.0247,1.0253,93348,1.0279 
2012.08.01,0:00,1.0252,1.0284,1.0229,1.0277,91384,1.0257 
2012.08.02,0:00,1.0278,1.0347,1.0247,1.0315,102385,1.0297 
2012.08.03,0:00,1.0314,1.0342,1.0234,1.0247,92768,1.0288 
2012.08.06,0:00,1.0239,1.0291,1.02,1.0235,93187,1.0246 
2012.08.07,0:00,1.0235,1.0265,1.0205,1.0221,95700,1.0235 
2012.08.08,0:00,1.0221,1.028,1.0211,1.0266,82255,1.0246 
2012.08.09,0:00,1.0265,1.034,1.0243,1.0322,84895,1.0292 
2012.08.10,0:00,1.0322,1.0334,1.0269,1.0326,83453,1.0302 
2012.08.13,0:00,1.0308,1.0325,1.0213,1.0239,73737,1.0269 
2012.08.14,0:00,1.0239,1.0244,1.0202,1.0221,77653,1.0223 
2012.08.15,0:00,1.0221,1.0279,1.0183,1.0261,73539,1.0231 
2012.08.16,0:00,1.0261,1.0272,1.0192,1.0213,75815,1.0232 
2012.08.17,0:00,1.0212,1.0227,1.0131,1.0141,76440,1.0179 
2012.08.20,0:00,1.0142,1.0196,1.0133,1.0159,69835,1.0165 
2012.08.21,0:00,1.0158,1.0194,1.0084,1.0092,71623,1.0139 
2012.08.22,0:00,1.0092,1.0096,1.0038,1.0068,84199,1.0067 
2012.08.23,0:00,1.0067,1.0088,0.9973,0.9976,78771,1.0031 
2012.08.24,0:00,0.9976,0.9992,0.9946,0.998,69453,0.9969 
2012.08.27,0:00,1,1.0004,0.9947,0.996,51290,0.9976 
2012.08.28,0:00,0.996,0.998,0.9908,0.9915,59996,0.9944 
2012.08.29,0:00,0.9915,0.9946,0.9896,0.9913,56091,0.9921 
2012.08.30,0:00,0.9915,0.9918,0.987,0.9876,58289,0.9894 
2012.08.31,0:00,0.9876,0.9897,0.9815,0.986,67440,0.9856 
2012.09.03,0:00,0.9821,0.9829,0.9752,0.9768,56909,0.9791 
2012.09.04,0:00,0.9768,0.9792,0.9737,0.9769,63887,0.9765 
2012.09.05,0:00,0.977,0.9792,0.9711,0.9738,71047,0.9752 
2012.09.06,0:00,0.9737,0.9836,0.9717,0.9803,70990,0.9777 
2012.09.07,0:00,0.9803,0.99,0.9792,0.98,75371,0.9846 
2012.09.10,0:00,0.9783,0.9815,0.977,0.9776,57758,0.9793 
2012.09.11,0:00,0.9777,0.9823,0.9741,0.9793,69963,0.9782 
2012.09.12,0:00,0.9793,0.9856,0.9788,0.9806,77366,0.9822 
2012.09.13,0:00,0.9805,0.9882,0.9766,0.9859,80246,0.9824 
2012.09.14,0:00,0.986,0.9887,0.976,0.9767,83356,0.9824 
2012.09.17,0:00,0.9776,0.9793,0.9701,0.9712,71319,0.9747 
2012.09.18,0:00,0.9712,0.9718,0.964,0.9706,76384,0.9679 
2012.09.19,0:00,0.9706,0.9731,0.9668,0.9715,75393,0.9700 
2012.09.20,0:00,0.9716,0.9743,0.9658,0.9736,81886,0.9701 
2012.09.21,0:00,0.9735,0.9795,0.9722,0.9753,76348,0.9759 
2012.09.24,0:00,0.974,0.9762,0.9719,0.9751,69095,0.9741 
2012.09.25,0:00,0.9751,0.9777,0.9729,0.9736,76050,0.9753 
2012.09.26,0:00,0.9737,0.9745,0.9705,0.9739,73182,0.9725 
2012.09.27,0:00,0.9739,0.9801,0.9733,0.9784,75977,0.9767 
2012.09.28,0:00,0.9783,0.9794,0.9733,0.9743,75765,0.9764 
2012.10.01,0:00,0.9747,0.9769,0.9711,0.9717,66147,0.9740 
2012.10.02,0:00,0.9717,0.973,0.9595,0.9609,64259,0.9663 
2012.10.03,0:00,0.9609,0.9611,0.9553,0.9583,69883,0.9582 
2012.10.04,0:00,0.9583,0.9597,0.9519,0.9525,77625,0.9558 
2012.10.05,0:00,0.9525,0.9561,0.9441,0.9442,72885,0.9501 
2012.10.08,0:00,0.944,0.9532,0.9429,0.9506,67617,0.9481 
2012.10.09,0:00,0.9506,0.9603,0.9502,0.9592,62379,0.9553 
2012.10.10,0:00,0.9592,0.9636,0.9589,0.9609,62558,0.9613 
2012.10.11,0:00,0.961,0.966,0.9585,0.9593,62799,0.9623 
2012.10.12,0:00,0.9593,0.9612,0.953,0.9547,56285,0.9571 
2012.10.15,0:00,0.9567,0.958,0.9526,0.9563,54943,0.9553 
2012.10.16,0:00,0.9564,0.9577,0.9506,0.9512,54985,0.9542 
2012.10.17,0:00,0.9512,0.9577,0.949,0.9573,60006,0.9534 
2012.10.18,0:00,0.9573,0.96,0.956,0.9582,57617,0.9580 
2012.10.19,0:00,0.9582,0.9602,0.9574,0.958,56930,0.9588 
2012.10.22,0:00,0.9574,0.9579,0.9548,0.9562,50428,0.9564 
2012.10.23,0:00,0.9562,0.9586,0.9543,0.9569,55249,0.9565 
2012.10.24,0:00,0.9568,0.9668,0.956,0.9651,59145,0.9614 
2012.10.25,0:00,0.9652,0.9684,0.9642,0.9674,56681,0.9663 
2012.10.26,0:00,0.9674,0.9702,0.9637,0.9683,60710,0.9670 
2012.10.29,0:00,0.9678,0.9706,0.9666,0.9672,52751,0.9686 
2012.10.30,0:00,0.9673,0.97,0.9647,0.9658,55171,0.9674 
2012.10.31,0:00,0.9658,0.9682,0.9629,0.9665,63638,0.9656 
2012.11.01,0:00,0.9664,0.9702,0.9648,0.9687,62195,0.9675 
2012.11.02,0:00,0.9688,0.9766,0.9687,0.9709,64331,0.9727 
2012.11.05,0:00,0.9731,0.9787,0.9722,0.9776,63685,0.9755 
2012.11.06,0:00,0.9776,0.9855,0.9773,0.9835,71369,0.9814 
2012.11.07,0:00,0.9834,0.9876,0.9809,0.9831,89162,0.9843 
2012.11.08,0:00,0.9831,0.9885,0.9817,0.9838,82102,0.9851 
2012.11.09,0:00,0.9838,0.9864,0.9823,0.9847,80512,0.9844 
2012.11.12,0:00,0.9861,0.9898,0.9837,0.9884,62593,0.9868 
2012.11.13,0:00,0.9884,0.9903,0.9861,0.9882,75109,0.9882 
2012.11.14,0:00,0.9883,0.9896,0.9791,0.9802,74449,0.9844 
2012.11.15,0:00,0.9801,0.9809,0.9706,0.973,72938,0.9758 
2012.11.16,0:00,0.9731,0.9784,0.9727,0.9771,67304,0.9756 
2012.11.19,0:00,0.9778,0.9816,0.9769,0.9784,61365,0.9793 
2012.11.20,0:00,0.9783,0.9816,0.9743,0.9763,66269,0.9780 
2012.11.21,0:00,0.9763,0.9791,0.9708,0.9729,64043,0.9750 
2012.11.22,0:00,0.973,0.9745,0.9692,0.9711,62694,0.9719 
2012.11.23,0:00,0.9712,0.973,0.9694,0.9699,61737,0.9712 
2012.11.26,0:00,0.9703,0.9716,0.9694,0.9704,59148,0.9705 
2012.11.27,0:00,0.9704,0.9747,0.9688,0.9715,65255,0.9718 
2012.11.28,0:00,0.9716,0.9751,0.9709,0.9731,66842,0.9730 
2012.11.29,0:00,0.973,0.9735,0.9662,0.9673,59144,0.9699 
2012.11.30,0:00,0.9674,0.9681,0.9641,0.9672,64282,0.9661 
2012.12.03,0:00,0.9674,0.9677,0.9621,0.9642,61998,0.9649 
2012.12.04,0:00,0.9642,0.9729,0.9636,0.9698,64359,0.9683 
2012.12.05,0:00,0.9698,0.9734,0.9676,0.9683,54934,0.9705 
2012.12.06,0:00,0.9682,0.9793,0.9667,0.9773,64789,0.9730 
2012.12.07,0:00,0.9773,0.9819,0.9759,0.9794,61192,0.9789 
2012.12.10,0:00,0.9823,0.9825,0.978,0.9786,56049,0.9803 
2012.12.11,0:00,0.9787,0.9823,0.9766,0.9812,59637,0.9795 
2012.12.12,0:00,0.9812,0.983,0.9768,0.9773,60761,0.9799 
2012.12.13,0:00,0.9773,0.9779,0.9708,0.9719,61059,0.9744 
2012.12.14,0:00,0.9719,0.9738,0.9687,0.969,61702,0.9713 
2012.12.17,0:00,0.9667,0.9693,0.9655,0.9678,59096,0.9674 
2012.12.18,0:00,0.9677,0.9682,0.9605,0.9614,57650,0.9644 
2012.12.19,0:00,0.9614,0.9615,0.9529,0.9569,62645,0.9572 
2012.12.20,0:00,0.9569,0.959,0.9518,0.9551,62821,0.9554 
2012.12.21,0:00,0.9552,0.9562,0.951,0.9514,67578,0.9536 
2012.12.24,0:00,0.9526,0.9539,0.9477,0.9498,41073,0.9508 
2012.12.26,0:00,0.9484,0.9489,0.9442,0.9474,39524,0.9466 
2012.12.27,0:00,0.9474,0.9487,0.9431,0.9474,62850,0.9459 
2012.12.28,0:00,0.9473,0.9527,0.9452,0.9471,62400,0.9490 
2012.12.31,0:00,0.9462,0.9515,0.9448,0.9511,52519,0.9482 
2013.01.02,0:00,0.9539,0.9646,0.9523,0.9638,56643,0.9585 
2013.01.03,0:00,0.9638,0.9715,0.9625,0.9696,69925,0.9670 
2013.01.04,0:00,0.9696,0.9706,0.9658,0.9685,75014,0.9682 
2013.01.07,0:00,0.9684,0.9739,0.966,0.9672,69479,0.9700 
2013.01.08,0:00,0.9673,0.9705,0.9645,0.9703,68232,0.9675 
2013.01.09,0:00,0.9703,0.976,0.9692,0.9725,69425,0.9726 
2013.01.10,0:00,0.9725,0.978,0.9671,0.9684,75301,0.9726 
2013.01.11,0:00,0.9684,0.9701,0.9605,0.9619,77402,0.9653 
2013.01.14,0:00,0.963,0.9746,0.9605,0.9737,74114,0.9676 
2013.01.15,0:00,0.9737,0.9845,0.9723,0.9842,85016,0.9784 
2013.01.16,0:00,0.9841,0.9852,0.9789,0.9838,77514,0.9821 
2013.01.17,0:00,0.9839,0.9861,0.9773,0.9831,82219,0.9817 
2013.01.18,0:00,0.9831,0.9873,0.9762,0.9807,85656,0.9818 
2013.01.21,0:00,0.9822,0.9828,0.9786,0.9803,64395,0.9807 
2013.01.22,0:00,0.9802,0.9844,0.9789,0.9814,80504,0.9817 
2013.01.23,0:00,0.9814,0.9831,0.9779,0.9806,73380,0.9805 
2013.01.24,0:00,0.9806,0.9806,0.9699,0.9703,80465,0.9753 
2013.01.25,0:00,0.9703,0.9731,0.9623,0.965,80956,0.9677 
2013.01.28,0:00,0.9652,0.9681,0.9618,0.9645,70893,0.9650 
2013.01.29,0:00,0.9645,0.9683,0.961,0.9647,74187,0.9647 
2013.01.30,0:00,0.9647,0.9661,0.9475,0.9484,75079,0.9568 
2013.01.31,0:00,0.9484,0.9514,0.9433,0.9485,74687,0.9474 
2013.02.01,0:00,0.9485,0.9494,0.9374,0.9443,83524,0.9434 
2013.02.04,0:00,0.9466,0.9512,0.9447,0.9477,69636,0.9480 
2013.02.05,0:00,0.9477,0.951,0.942,0.9433,78011,0.9465 
2013.02.06,0:00,0.9433,0.9442,0.9365,0.9387,78335,0.9404 
2013.02.07,0:00,0.9387,0.9477,0.9355,0.9438,78867,0.9416 
2013.02.08,0:00,0.9438,0.9492,0.9417,0.9458,72679,0.9455 
2013.02.11,0:00,0.9461,0.9469,0.9402,0.9434,66115,0.9436 
2013.02.12,0:00,0.9435,0.9462,0.9373,0.9447,72565,0.9418 
2013.02.13,0:00,0.9448,0.9515,0.9443,0.9504,66370,0.9479 
